球员,投篮,三分,罚球,篮板,助攻,抢断,盖帽,失误,犯规,位置
哈皮-海尔斯顿,47.80%,0,74.10%,10.3,1.6,0.1,0,0,3,f
杰克-马琳,46.50%,0,84.30%,5.2,2.1,0.2,0.1,0,2.8,f
安德里亚-巴尼亚尼,43.80%,35.50%,82.50%,4.7,1.2,0.4,0.9,1.6,2.5,f
查克-波森,45.80%,36.20%,72.30%,5.1,2.8,0.7,0.2,2.1,2.7,f
肖恩-坎普,48.80%,27.70%,74.10%,8.4,1.6,1.1,1.2,2.6,3.6,f
大卫-李,53.20%,3.60%,77.50%,9.3,2.3,0.8,0.4,1.9,2.8,f
拉希德-华莱士,46.70%,33.60%,72.10%,6.7,1.8,1,1.3,1.5,2.9,f
莫里斯-卢卡斯,47.30%,11.10%,76.30%,8.8,2.3,0.7,0.6,2.1,3.4,f
格雷格-门罗,50.70%,0.00%,69.60%,9.2,2.3,1.2,0.6,2.1,2.4,f
尼克-安德森,44.60%,35.60%,66.70%,5.1,2.6,1.4,0.5,1.7,1.9,f
沃恩-米克尔森,40.30%,0,76.60%,8.5,2.2,0,0,0,4,f
达尼罗-加里纳利,41.50%,36.70%,85.60%,4.6,1.9,0.8,0.5,1.3,2,f
查尔斯-史密斯,47.50%,19.40%,77.40%,5.8,1.4,0.8,1.4,1.8,3.4,f
约什-霍华德,44.80%,33.20%,77.00%,5.7,1.6,1,0.5,1.4,2.6,f
塞德里克-塞巴洛斯,50.00%,30.90%,75.30%,5.3,1.2,0.7,0.3,1.6,1.8,f
罗伊-辛森,49.90%,0.00%,74.10%,6.8,1,0.6,1.7,2,3.7,f
肖恩-埃利奥特,46.50%,37.50%,80.00%,4.3,2.6,0.8,0.4,1.8,2.2,f
卡隆-巴特勒,43.40%,34.90%,84.70%,5,2.3,1.3,0.2,1.8,2.4,f
克里弗德-罗宾逊,43.80%,35.60%,68.90%,4.6,2.2,1,1,1.8,3,f
沃利-斯泽比亚克,48.50%,40.60%,86.00%,4,2.4,0.6,0.2,1.5,2.1,f
杰夫-格林,43.80%,34.10%,79.30%,4.9,1.6,0.8,0.6,1.7,2.4,f
米奇-约翰逊,44.90%,16.50%,80.00%,7.2,3,1.1,0.7,2.3,3.4,f
钱德勒-帕森斯,46.90%,37.10%,69.90%,5,3,1,0.4,1.6,2.1,f
沃尔特-贝里,53.90%,20.00%,63.80%,4.7,1.4,0.6,0.7,2,2.9,f
丹尼-曼宁,51.10%,20.60%,72.90%,5.2,2.3,1.1,0.9,2.1,3.3,f
奥蒂斯-索普,54.60%,4.70%,68.70%,8.2,2.2,0.7,0.4,2.2,3.3,f
Kenny Sears,45.50%,0,82.60%,7.8,1.6,0,0,0,2.8,f
德特雷夫-施拉姆夫,49.10%,38.40%,80.30%,6.2,3.4,0.8,0.3,2,3,f
赛迪斯-杨,49.70%,32.00%,69.00%,5.6,1.5,1.4,0.4,1.4,2.2,f
吉姆-麦克米兰,48.20%,0,83.20%,5.3,2.5,0.7,0.1,0.2,1.9,f
特里·狄辛格,50.60%,0,75.80%,5.6,1.8,0,0,0,3.2,f
尼古拉-武切维奇,51.10%,31.60%,72.90%,9.9,1.7,0.8,0.8,1.7,2.8,f
理查德-杰弗森,46.40%,37.80%,76.90%,4.3,2.2,0.7,0.3,1.6,2.3,f
戈登-海沃德,43.90%,37.00%,81.20%,3.8,3.3,1,0.4,2,1.8,f
