投篮,三分,罚球,篮板,助攻,抢断,盖帽,失误,犯规,位置
36.90%,0,70.00%,11.3,1.1,0,0,0,4.1,c
36.90%,0,75.20%,5.5,1.9,0,0,0,3,c
46.00%,5.40%,69.90%,5.9,1.1,0.7,1.5,1.3,2.9,c
44.10%,18.80%,73.80%,9.7,3.7,1,1.2,1,3.5,c
37.40%,0,69.20%,8.5,1.5,0,0,0,3.1,c
48.60%,0,71.10%,3.9,1.1,0,0,0,2.3,c
40.00%,0,76.50%,2,1.9,0,0,0,3.9,c
41.70%,0,69.70%,6.7,1.5,0,0,0,2.9,c
49.40%,14.30%,73.00%,5.4,0.8,0.4,0.7,1.2,3,c
36.10%,0,63.30%,8.2,2.5,0,0,0,3.4,c
45.60%,0,60.30%,8.1,1.6,1.7,1.7,2.2,2.7,c
54.90%,17.60%,68.10%,7.6,0.9,0.5,1.2,1.1,2.1,c
57.30%,0.00%,64.40%,6.4,0.5,0.6,1.5,1.5,3.1,c
51.80%,0.00%,68.40%,10.3,1,0.4,2.8,1.8,2.8,c
35.10%,0,67.80%,3.8,1.6,0,0,0,3.1,c
43.10%,0,78.00%,13.5,4.3,0,0,0,3.1,f
49.60%,34.10%,74.40%,7.1,6.9,1.7,0.8,3.4,1.9,f
48.20%,38.10%,88.10%,6.9,3.5,1.2,1,3.2,1.9,f
43.60%,0,76.10%,16.2,3,0,0,0,3.2,f
45.40%,34.50%,81.20%,6.6,3.1,1.1,0.5,2.9,2.9,f
51.60%,27.40%,74.20%,10.1,3.6,1.4,0.8,3.1,3.1,f
46.10%,31.90%,81.10%,6.7,2.5,1.3,0.6,2.5,1.9,f
49.60%,37.60%,88.60%,10,6.3,1.7,0.8,3.1,2.5,f
54.00%,17.10%,81.80%,5.7,3,1,0.2,2.6,2.7,f
44.90%,33.00%,90.00%,6.5,5.1,1.4,0.3,0.7,2.9,f
42.10%,0,81.00%,8.6,2.3,0,0,0,3.9,f
51.80%,17.20%,73.00%,5.8,3.3,1,0.3,3.2,3.3,f
47.60%,38.30%,87.90%,7.9,2.6,0.8,0.9,1.8,2.4,f
54.10%,26.60%,73.50%,11.7,3.9,1.5,0.8,3.1,3.1,f
50.70%,26.10%,77.70%,6.7,3.9,1.8,1.5,2.8,2.7,f
52.30%,26.70%,66.00%,9.6,4,1,0.6,2.5,3.1,f
50.70%,21.70%,83.20%,5.5,3.6,0.9,0.7,2.4,2.5,f
45.20%,14.70%,67.00%,12.5,1.8,0.7,1.4,1,3.2,f
44.60%,0,72.00%,10.1,4,0.2,0.1,0,3.7,f
43.90%,0,81.50%,6.3,4.8,0.4,0.1,0.2,2.6,f
47.00%,17.50%,74.80%,6.9,1.7,1.4,0.3,1.9,3.6,f
45.90%,34.00%,82.00%,6.1,2.7,1.2,0.6,3.1,2.7,f
47.90%,29.90%,64.90%,9.8,4.2,1.4,1.4,2.8,3.2,f
44.70%,37.00%,80.60%,5.8,3.6,1.4,0.6,2.7,2.8,f
48.90%,0,79.70%,4.4,2.7,0.6,0.1,0.3,2.7,f
51.80%,15.20%,73.90%,7,3.6,1.3,0.8,2.4,2.6,f
52.00%,24.20%,78.20%,9.6,1.6,1.3,2.5,1.5,2.5,f
48.40%,31.20%,74.10%,5,3.1,0.7,0.3,2.5,2.8,f
49.30%,21.60%,77.90%,5.6,1.3,0.7,0.5,1.7,2.7,f
52.50%,36.80%,87.20%,3.4,2.1,0.6,0.3,1.6,1.9,f
53.60%,23.60%,76.10%,8.1,1.3,0.8,1.3,2.4,3.3,f
43.50%,33.80%,74.60%,5.6,4.4,1.2,0.9,2.2,1.8,f
50.60%,18.00%,69.60%,11,3.1,0.7,2.2,2.5,2.4,f
48.40%,26.60%,79.60%,8.4,1.9,0.8,1,1.6,2.6,f
45.00%,0,77.80%,6.6,2.3,0,0,0,3.4,f
49.40%,32.80%,79.90%,8.6,2,0.8,1.1,2,2.4,f
42.20%,0,78.00%,8.9,1.7,0,0,0,3,f
46.50%,12.50%,80.00%,9.3,1.8,0.5,0.8,0.9,2.9,f
46.00%,22.80%,73.20%,10.6,2.6,1.4,1.1,3.3,3.9,f
41.80%,34.50%,76.60%,5.4,4,1,0.2,2.6,2.5,f
49.70%,33.80%,75.70%,9.5,2.9,1.5,0.4,2.8,3.3,f
48.00%,0,76.20%,9.9,1.9,0,0,0,3.7,f
44.80%,36.40%,81.50%,11.8,2.4,0.7,0.5,2,2.2,f
40.50%,0,79.00%,8.8,2,0,0,0,3.8,f
38.00%,0,84.90%,11.3,3.1,0,0,0,3.4,f
